node	node_name	node_type
8904	CPNE1	Gene
C0011206	Delirium	SideEffect
C0018924	Haemarthrosis	SideEffect
Q86Z02	HIPK1_HUMAN	Protein
113130	CDCA5	Gene
CHEBI:48356	protic solvent	PharmacologicClass
DOID:0110186	Charcot-Marie-Tooth disease type 4D	Disease
DB09060	Avibactam	Compound
58529	MYOZ1	Gene
91978	TPGS1	Gene
146754	DNAH2	Gene
9662	CEP135	Gene
81	ACTN4	Gene
DOID:2425	cutaneous ganglioneuroma	Disease
Q9P1Z3	HCN3_HUMAN	Protein
81563	C1orf21	Gene
253143	PRR14L	Gene
90313	TP53I13	Gene
84734	FAM167B	Gene
CHEMBL3545079	CHEMBL3545079	Compound
79064	TMEM223	Gene
CHEMBL2108034	CHEMBL2108034	Compound
C0496901	Pituitary tumour benign	SideEffect
CHEMBL198877	CHEMBL198877	Compound
DOID:9306	mechanical strabismus	Disease
10555	AGPAT2	Gene
C0003504	Aortic valve incompetence	SideEffect
DOID:1697	ichthyosis	Disease
157927	C9orf62	Gene
23022	PALLD	Gene
221037	JMJD1C	Gene
7086	TKT	Gene
10783	NEK6	Gene
DB01240	Epoprostenol	Compound
CHEMBL209821	CHEMBL209821	Compound
DOID:0050841	focal hand dystonia	Disease
D012607	Scotoma	Symptom
9975	NR1D2	Gene
C0005967	Bone neoplasm	SideEffect
51754	TMEM8B	Gene
152065	C3orf22	Gene
DOID:1891	optic nerve disease	Disease
56110	PCDHGA5	Gene
124	ADH1A	Gene
138881	OR1L8	Gene
10262	SF3B4	Gene
5294	PIK3CG	Gene
115111	SLC26A7	Gene
9607	CARTPT	Gene
5726	TAS2R38	Gene
483	ATP1B3	Gene
4908	NTF3	Gene
122706	PSMB11	Gene
1962	EHHADH	Gene
3841	KPNA5	Gene
CHEMBL1615369	CHEMBL1615369	Compound
2639	GCDH	Gene
C0522153	Urine color abnormal	SideEffect
CHEMBL3545155	CHEMBL3545155	Compound
5279	PIGC	Gene
57763	ANKRA2	Gene
373856	USP41	Gene
DOID:2600	laryngeal carcinoma	Disease
P25106	ACKR3_HUMAN	Protein
56204	FAM214A	Gene
54469	ZFAND6	Gene
DOID:0060025	immunoglobulin alpha deficiency	Disease
CHEMBL26362	CHEMBL26362	Compound
CHEMBL2105732	CHEMBL2105732	Compound
51478	HSD17B7	Gene
DOID:0110571	autosomal dominant nonsyndromic deafness 48	Disease
1857	DVL3	Gene
57224	NHSL1	Gene
DOID:0110317	hypertrophic cardiomyopathy 11	Disease
DOID:0050726	tyrosinemia type I	Disease
DOID:1934	dysostosis	Disease
1616	DAXX	Gene
57221	ARFGEF3	Gene
P30530	UFO_HUMAN	Protein
4675	NAP1L3	Gene
653437	AQP12B	Gene
10360	NPM3	Gene
UBERON:0009564	distal limb integumentary appendage	Anatomy
CHEMBL1095292	CHEMBL1095292	Compound
130733	TMEM178A	Gene
CHEBI:35476	antipsychotic agent	PharmacologicClass
DOID:5015	fibrolamellar carcinoma	Disease
5959	RDH5	Gene
DOID:5559	mediastinal cancer	Disease
C0085632	Apathy	SideEffect
22884	WDR37	Gene
25797	QPCT	Gene
5504	PPP1R2	Gene
DB01044	Gatifloxacin	Compound
10721	POLQ	Gene
UBERON:0001640	celiac artery	Anatomy
DB08864	Rilpivirine	Compound
56125	PCDHB11	Gene
89857	KLHL6	Gene
151230	KLHL23	Gene
55589	BMP2K	Gene
DOID:5517	stomach carcinoma	Disease
8996	NOL3	Gene
79810	PTCD2	Gene
CHEMBL2108250	CHEMBL2108250	Compound
D011695	Purpura, Schoenlein-Henoch	Symptom
340307	CTAGE6	Gene
158062	LCN6	Gene
29760	BLNK	Gene
100463285	MTRNR2L4	Gene
N0000006290	Vitamin K	PharmacologicClass
55186	SLC25A36	Gene
6192	RPS4Y1	Gene
DB13872	Lormetazepam	Compound
56886	UGGT1	Gene
P48736	PK3CG_HUMAN	Protein
6793	STK10	Gene
DB00758	Clopidogrel	Compound
640	BLK	Gene
DB07615	Tranilast	Compound
D014528	Uricosuric Agents	PharmacologicClass
C0853700	Application site erythema	SideEffect
CHEMBL562318	CHEMBL562318	Compound
P36888	FLT3_HUMAN	Protein
27121	DKK4	Gene
C0149871	Deep vein thrombosis	SideEffect
DB00563	Methotrexate	Compound
C0007971	Cheilitis	SideEffect
503835	DUXA	Gene
145942	TMCO5A	Gene
84335	AKT1S1	Gene
5727	PTCH1	Gene
DOID:8991	cervix uteri carcinoma in situ	Disease
UBERON:0001490	elbow joint	Anatomy
DB13142	Calcium glubionate	Compound
C0344304	Abdominal pain generalised	SideEffect
CHEMBL3301595	CHEMBL3301595	Compound
51232	CRIM1	Gene
2800	GOLGA1	Gene
C0876980	Headache aggravated	SideEffect
DOID:0060702	familial hypocalciuric hypercalcemia 3	Disease
4082	MARCKS	Gene
55109	AGGF1	Gene
79038	ZFYVE21	Gene
DB00718	Adefovir Dipivoxil	Compound
79145	CHCHD7	Gene
130576	LYPD6B	Gene
DOID:0090091	hypogonadotropic hypogonadism 23 with or without anosmia	Disease
GO:0036477	somatodendritic compartment	CellularComponent
441933	OR13G1	Gene
GO:0009887	animal organ morphogenesis	BiologicalProcess
122830	NAA30	Gene
131583	FAM43A	Gene
51280	GOLM1	Gene
CHEMBL1189025	CHEMBL1189025	Compound
152110	NEK10	Gene
DOID:14545	seminal vesicle adenocarcinoma	Disease
55105	GPATCH2	Gene
1687	GSDME	Gene
55014	STX17	Gene
CHEMBL1201508	CHEMBL1201508	Compound
DOID:13487	childhood disintegrative disease	Disease
C0151723	Hypomagnesaemia	SideEffect
DB05219	Crisaborole	Compound
57514	ARHGAP31	Gene
59345	GNB4	Gene
219484	OR5M8	Gene
CHEMBL937	CHEMBL937	Compound
8870	IER3	Gene
6754	SSTR4	Gene
26269	FBXO8	Gene
DOID:0060281	photosensitive epilepsy	Disease
353133	LCE1C	Gene
11031	RAB31	Gene
54875	CNTLN	Gene
CHEMBL1964120	CHEMBL1964120	Compound
55795	PCID2	Gene
CHEMBL1201387	CHEMBL1201387	Compound
5982	RFC2	Gene
C0025309	Meningoencephalitis	SideEffect
64801	ARV1	Gene
DOID:14247	chronic purulent otitis media	Disease
CHEMBL3707316	CHEMBL3707316	Compound
GO:0007276	gamete generation	BiologicalProcess
5694	PSMB6	Gene
C0235955	Dermatitis hemorrhagic	SideEffect
DOID:1777	unilateral hyperactive labyrinth	Disease
122060	SLAIN1	Gene
DOID:0050848	obstructive sleep apnea	Disease
P09237	MMP7_HUMAN	Protein
C1761613	Conjunctival hyperaemia	SideEffect
Q96SB4	SRPK1_HUMAN	Protein
285848	PNPLA1	Gene
P14868	SYDC_HUMAN	Protein
123606	NIPA1	Gene
DB00143	Glutathione	Compound
DB00137	Lutein	Compound
115817	DHRS1	Gene
CHEMBL1201352	CHEMBL1201352	Compound
9992	KCNE2	Gene
3400	ID4	Gene
84236	RHBDD1	Gene
C0152009	WBC abnormal NOS	SideEffect
CHEMBL2364614	CHEMBL2364614	Compound
C0038999	Swelling	SideEffect
219437	OR5L1	Gene
C0151937	Tendon rupture	SideEffect
DB08992	Eperisone	Compound
P60568	IL2_HUMAN	Protein
DOID:0110928	nemaline myopathy 2	Disease
3831	KLC1	Gene
553115	PEF1	Gene
N0000175976	Local Anesthesia	PharmacologicClass
D059606	Polydipsia	Symptom
CHEMBL1700	CHEMBL1700	Compound
201176	ARHGAP27	Gene
C2721737	Application site stinging	SideEffect
3659	IRF1	Gene
10248	POP7	Gene
51161	C3orf18	Gene
1298	COL9A2	Gene
CHEMBL3707276	CHEMBL3707276	Compound
DOID:0110588	autosomal dominant nonsyndromic deafness 67	Disease
25994	HIGD1A	Gene
P32238	CCKAR_HUMAN	Protein
D000975	Antioxidants	PharmacologicClass
128372	OR6N1	Gene
729230	CCR2	Gene
C0030552	Paresis	SideEffect
CHEBI:48675	antifibrinolytic drug	PharmacologicClass
5683	PSMA2	Gene
100144748	KLLN	Gene
DB01145	Sulfoxone	Compound
C0231749	Knee pain	SideEffect
CHEBI:48354	polar solvent	PharmacologicClass
DOID:1925	Coffin-Siris syndrome	Disease
DOID:0090080	hypogonadotropic hypogonadism 16 with or without anosmia	Disease
55810	FOXJ2	Gene
O60939	SCN2B_HUMAN	Protein
DOID:0060178	familial hemiplegic migraine	Disease
CHEMBL1200597	CHEMBL1200597	Compound
113277	TMEM106A	Gene
59271	EVA1C	Gene
84869	CBR4	Gene
283987	HID1	Gene
90507	SCRN2	Gene
DOID:0070088	schizophrenia 12	Disease
440026	TMEM41B	Gene
824	CAPN2	Gene
C0239279	Epididymal tenderness	SideEffect
3937	LCP2	Gene
DB01377	Magnesium oxide	Compound
GO:0008286	insulin receptor signaling pathway	BiologicalProcess
29781	NCAPH2	Gene
Q01469	FABP5_HUMAN	Protein
DOID:0060232	branchiootic syndrome	Disease
DB01218	Halofantrine	Compound
CHEMBL1567	CHEMBL1567	Compound
23768	FLRT2	Gene
GO:0043413	macromolecule glycosylation	BiologicalProcess
DOID:0110108	atrial heart septal defect 3	Disease
117584	RFFL	Gene
DOID:11312	Mobitz type II atrioventricular block	Disease
728378	POTEF	Gene
DOID:12120	pulmonary alveolar proteinosis	Disease
DOID:13099	Moyamoya disease	Disease
348093	RBPMS2	Gene
DOID:10882	epidemic pleurodynia	Disease
DOID:1251	tuberculous epididymitis	Disease
6755	SSTR5	Gene
D065686	Cytochrome P-450 CYP2B6 Inhibitors	PharmacologicClass
3448	IFNA14	Gene
C0021843	Intestinal obstruction	SideEffect
CHEBI:50433	platelet glycoprotein-IIb/IIIa receptor antagonist	PharmacologicClass
DOID:8761	megakaryocytic leukemia	Disease
1491	CTH	Gene
DOID:9598	fasciitis	Disease
375248	ANKRD36	Gene
DOID:1143	exotropia	Disease
53616	ADAM22	Gene
1974	EIF4A2	Gene
4494	MT1F	Gene
UBERON:0002535	gill	Anatomy
729597	SPDYE6	Gene
10841	FTCD	Gene
26280	IL1RAPL2	Gene
D003902	Detergents	PharmacologicClass
CHEMBL481611	CHEMBL481611	Compound
26577	PCOLCE2	Gene
8850	KAT2B	Gene
DOID:10908	hydrocephalus	Disease
8065	CUL5	Gene
4707	NDUFB1	Gene
10174	SORBS3	Gene
127064	OR2T12	Gene
442590	SPDYE5	Gene
375337	TOPAZ1	Gene
128486	FITM2	Gene
DB08974	Flubendazole	Compound
4544	MTNR1B	Gene
C0265101	Carotid artery occlusion	SideEffect
DOID:13249	pneumatosis cystoides intestinalis	Disease
Q9NR82	KCNQ5_HUMAN	Protein
11314	CD300A	Gene
DOID:5384	bile duct cystadenoma	Disease
C0549567	Pigmentation disorder	SideEffect
23555	TSPAN15	Gene
125958	OR7D4	Gene
167227	DCP2	Gene
GO:0031102	neuron projection regeneration	BiologicalProcess
55770	EXOC2	Gene
DB04865	Omacetaxine mepesuccinate	Compound
272	AMPD3	Gene
DOID:0110180	Charcot-Marie-Tooth disease axonal type 2CC	Disease
2813	GP2	Gene
54805	CNNM2	Gene
7038	TG	Gene
339327	ZNF546	Gene
56956	LHX9	Gene
DB00810	Biperiden	Compound
9978	RBX1	Gene
90121	TSR2	Gene
DOID:3361	pediatric osteosarcoma	Disease
51057	WDPCP	Gene
90288	EFCAB12	Gene
245938	DEFB125	Gene
C0851807	Aspergillus infection	SideEffect
DB06775	Carglumic Acid	Compound
DOID:3875	thrombophlebitis	Disease
51561	IL23A	Gene
DOID:3373	juxtacortical osteosarcoma	Disease
CHEMBL3545051	CHEMBL3545051	Compound
8342	HIST1H2BM	Gene
5133	PDCD1	Gene
CHEMBL292500	CHEMBL292500	Compound
C0019825	Hoarseness	SideEffect
9818	NUP58	Gene
DOID:0060580	Noonan syndrome 2	Disease
158586	ZXDB	Gene
N0000007544	Phenothiazines	PharmacologicClass
UBERON:0001105	clavicle bone	Anatomy
CHEMBL3544911	CHEMBL3544911	Compound
2322	FLT3	Gene
8722	CTSF	Gene
58473	PLEKHB1	Gene
DOID:9976	heroin dependence	Disease
C0024440	Cystoid macular oedema	SideEffect
7293	TNFRSF4	Gene
C1697642	Puncture site pain	SideEffect
9056	SLC7A7	Gene
51052	PRLH	Gene
D058891	5-alpha Reductase Inhibitors	PharmacologicClass
51157	ZNF580	Gene
9265	CYTH3	Gene
CHEMBL1241153	CHEMBL1241153	Compound
221395	ADGRF5	Gene
6649	SOD3	Gene
CHEMBL3833371	CHEMBL3833371	Compound
25870	SUMF2	Gene
C0007760	Cerebellar syndrome	SideEffect
2922	GRP	Gene
DOID:13864	trochlear nerve disease	Disease
90827	ZNF479	Gene
163747	LEXM	Gene
441518	RTL8B	Gene
DOID:3331	frontal lobe epilepsy	Disease
375790	AGRN	Gene
3172	HNF4A	Gene
7020	TFAP2A	Gene
2916	GRM6	Gene
DOID:9389	infectious anterior uveitis	Disease
64318	NOC3L	Gene
C0151752	Lactation female	SideEffect
29968	PSAT1	Gene
93	ACVR2B	Gene
CHEMBL6628	CHEMBL6628	Compound
C0343166	Effusion of knee	SideEffect
DOID:6201	pericardial mesothelioma	Disease
79035	NABP2	Gene
D020238	Prosopagnosia	Symptom
UBERON:0002129	cerebellar cortex	Anatomy
9553	MRPL33	Gene
DOID:0110296	autosomal recessive limb-girdle muscular dystrophy type 2M	Disease
23046	KIF21B	Gene
CHEMBL3545322	CHEMBL3545322	Compound
90167	FRMD7	Gene
GO:1904705	regulation of vascular smooth muscle cell proliferation	BiologicalProcess
285800	PRR18	Gene
285489	DOK7	Gene
128553	TSHZ2	Gene
494470	RNF165	Gene
Q86V86	PIM3_HUMAN	Protein
D002559	Cerebrospinal Fluid Rhinorrhea	Symptom
DOID:6886	ureter small cell carcinoma	Disease
DOID:0050462	Antley-Bixler syndrome	Disease
85319	BAGE2	Gene
C0014065	Encephalocele	SideEffect
CHEMBL2108703	CHEMBL2108703	Compound
DOID:5822	gray zone lymphoma	Disease
DOID:4138	bile duct disease	Disease
3881	KRT31	Gene
DOID:0110420	dominant pericentral pigmentary retinopathy	Disease
4337	MOCS1	Gene
P21802	FGFR2_HUMAN	Protein
100	ADA	Gene
DOID:0110933	nemaline myopathy 11	Disease
DOID:1759	American histoplasmosis	Disease
5682	PSMA1	Gene
653333	FAM86B2	Gene
CHEMBL1742991	CHEMBL1742991	Compound
DOID:0060647	cocoon syndrome	Disease
DB09185	Viloxazine	Compound
C0019364	Ophthalmic herpes zoster	SideEffect
114791	TUBGCP5	Gene
CHEMBL3707313	CHEMBL3707313	Compound
CHEMBL206031	CHEMBL206031	Compound
64285	RHBDF1	Gene
DOID:0050822	second-degree atrioventricular block	Disease
121551	BTBD11	Gene
D000726	Androgen Antagonists	PharmacologicClass
