node_id	node_name	node_type	node_name_type	tsne1	tsne2	tsne3
C0020701	Hysteria	SideEffect	Hysteria - SideEffect	-70.55610037033414	-23.59354863872515	41.47198991392303
DOID:0110773	hereditary spastic paraplegia 2	Disease	hereditary spastic paraplegia 2 - Disease	-8.672737281996142	-24.590815916185715	-63.10864096626652
C1266194	Hodgkin's disease lymphocyte predominance type stage unspecified	SideEffect	Hodgkin's disease lymphocyte predominance type stage unspecified - SideEffect	-72.58100430031811	18.168565378096297	30.121849799464783
C0152227	Lacrimation increased	SideEffect	Lacrimation increased - SideEffect	-49.97306390192271	-1.5727491423700244	34.24849688832649
DB11326	Boric acid	Compound	Boric acid - Compound	60.46420752195761	-20.25535303146575	6.367149095683641
DOID:1686	glaucoma	Disease	glaucoma - Disease	31.779668254543985	27.299854927370973	-19.16499836383992
C0340464	Extrasystoles	SideEffect	Extrasystoles - SideEffect	-64.89611559729626	33.77554170951583	18.097909679286417
C0014518	Toxic epidermal necrolysis	SideEffect	Toxic epidermal necrolysis - SideEffect	-35.29415095388363	11.258987809770675	20.169268946585497
C0003873	Rheumatoid arthritis	SideEffect	Rheumatoid arthritis - SideEffect	-63.05427633830973	19.713151513007745	28.274116888818515
DB00590	Doxazosin	Compound	Doxazosin - Compound	19.796841368260726	29.418176919430092	48.49600556972208
DB13142	Calcium glubionate	Compound	Calcium glubionate - Compound	3.8574404997732152	-20.222732180165956	-18.990776025696338
DOID:8924	autoimmune thrombocytopenic purpura	Disease	autoimmune thrombocytopenic purpura - Disease	41.789513671299765	-3.255871510731923	1.4543456431858182
C0242172	Pelvic inflammatory disease	SideEffect	Pelvic inflammatory disease - SideEffect	-37.24294980475465	4.532213301652939	42.67050525391847
C0036689	Pharyngitis streptococcal	SideEffect	Pharyngitis streptococcal - SideEffect	-48.159756621903824	26.415253899942265	15.840078901714564
C0005743	Blepharoconjunctivitis	SideEffect	Blepharoconjunctivitis - SideEffect	-49.18121851449947	-6.77567571407644	46.14665293430999
DB00921	Buprenorphine	Compound	Buprenorphine - Compound	19.874034852933466	29.36108412544376	28.647411658549526
DB01035	Procainamide	Compound	Procainamide - Compound	23.3533530665586	35.319280367581825	35.69818610005581
DOID:12196	superficial keratitis	Disease	superficial keratitis - Disease	-6.060330958728702	-7.205355913563971	-12.03627250149488
DB00669	Sumatriptan	Compound	Sumatriptan - Compound	15.999429033806944	32.41192339731343	46.030043067419136
C0004030	Aspergillosis	SideEffect	Aspergillosis - SideEffect	-60.07325351449568	10.084823317634827	21.634205795920618
DOID:12304	conjunctival pigmentation	Disease	conjunctival pigmentation - Disease	-12.678111169455919	-16.825742473980416	-15.536581550226106
DB00135	L-Tyrosine	Compound	L-Tyrosine - Compound	20.921427407950848	6.485670864337044	31.197672486904473
CHEMBL1618018	CHEMBL1618018	Compound	CHEMBL1618018 - Compound	23.1525129085308	23.674857935690632	35.88067251936068
DOID:9282	ocular hypertension	Disease	ocular hypertension - Disease	31.077256446144606	21.366020162013793	-19.88336733877873
C0424230	Psychomotor retardation	SideEffect	Psychomotor retardation - SideEffect	-34.94404258204847	30.212074661832478	32.91907639863446
DB01098	Rosuvastatin	Compound	Rosuvastatin - Compound	12.664135880195799	2.349759838872099	23.26668055582606
DB00137	Lutein	Compound	Lutein - Compound	29.415241224535514	7.502008471075669	23.296155317687706
DB01201	Rifapentine	Compound	Rifapentine - Compound	35.243804183882645	59.75383109143755	34.20425045406579
DOID:8499	night blindness	Disease	night blindness - Disease	15.901409541890208	19.35762731239829	-22.642081485660253
DB09241	Methylene blue	Compound	Methylene blue - Compound	26.4736782050196	14.599754241621273	11.393392292671276
C0022658	Nephropathy	SideEffect	Nephropathy - SideEffect	-40.160192107702116	20.302678283052185	14.30883887945811
DOID:9369	orbital plasma cell granuloma	Disease	orbital plasma cell granuloma - Disease	40.26325461495575	13.017964224363988	-26.95395452918689
DOID:4030	eosinophilic gastritis	Disease	eosinophilic gastritis - Disease	-6.880086864649312	-11.777122855629058	-9.575189854082689
DOID:14243	chronic perichondritis of pinna	Disease	chronic perichondritis of pinna - Disease	41.315341282918155	63.793152953725986	21.004778881882974
DB00747	Scopolamine	Compound	Scopolamine - Compound	18.522985389722436	25.020487420451484	36.66509863514773
DOID:3093	nervous system cancer	Disease	nervous system cancer - Disease	34.20991305797716	-14.083611126314604	-26.335406098270848
C0149793	Amaurosis fugax	SideEffect	Amaurosis fugax - SideEffect	-67.63508968014006	26.963570519548608	26.829546688050694
DOID:170	endocrine gland cancer	Disease	endocrine gland cancer - Disease	-3.2195171165111933	-28.41791159416195	-17.6754319700312
DOID:9280	carbamoyl phosphate synthetase I deficiency disease	Disease	carbamoyl phosphate synthetase I deficiency disease - Disease	30.231842208511697	-11.806523828251162	29.1356916082707
DOID:0090087	hypogonadotropic hypogonadism 14 with or without anosmia	Disease	hypogonadotropic hypogonadism 14 with or without anosmia - Disease	-14.264728806218349	-57.05811299773239	-13.044611726023998
DOID:8465	retinoschisis	Disease	retinoschisis - Disease	28.71009182437905	20.292902393656274	-23.156493903460277
DOID:4407	phototoxic dermatitis	Disease	phototoxic dermatitis - Disease	53.9787853264368	-21.18309996885331	-4.949314458444717
D014832	Voice Disorders	Symptom	Voice Disorders - Symptom	44.62564776309658	-12.464823101707863	-21.559186737136127
DOID:0090129	carnitine palmitoyltransferase I deficiency	Disease	carnitine palmitoyltransferase I deficiency - Disease	10.315642944466335	-0.5889977163727353	-23.043539251577542
DOID:0090069	giant axonal neuropathy 2	Disease	giant axonal neuropathy 2 - Disease	-9.892331949570787	-21.866670581206535	-66.31851078210501
